'ad		1. (pron) Connacht form of agat	alt-of connacht
'adsa		1. (pron) Galway form of agatsa	alt-of galway
'am		1. (pron) Galway form of agam: first-person singular of ag	alt-of galway
'ar leis		1. (prep) alternative form of dar leis<br />2. (pron) alternative form of dar leis<br />EXAMPLE: ’Ar leis féin annsin “dá mbeidhinn ar ais ag an rígh anois, thiucfadh liom sgéalta iongantacha innsint dó, ⁊ gheobhainn airgiod uadh;” ⁊ mar sin de d’fhill sé ar ais ionns’ ar an rígh, agus fuair sé ’na shuidhe ins an gharrdha é.: He then thought to himself [lit., ‘It seemed to him’]: "If I were back now again with the king, I could tell him wonderful stories, and I'd get money from him"; and so returned to the king, and found him sitting in the garden.	alt-of alternative colloquial dialectal triggers-no-mutation with-dative
'chuile		1. (det) alternative form of gach uile	alt-of alternative triggers-lenition
'le		1. (noun) contraction of fhéile<br />EXAMPLE: Lá ’le Pádraig: Saint Patrick's Day	abbreviation alt-of contraction
'na		1. (contraction) alternative form of ina	alt-of alternative contraction
'nuair		1. (adv) nonstandard spelling of nuair	alt-of nonstandard
'on		1. (contraction) alternative form of don	alt-of alternative colloquial contraction
's		1. (conj) contraction of is (“and”)<br />2. (particle) contraction of is (“is”)<br />3. (noun) contraction of a + fhios, literally “knowledge of it”: only used in tá's ag and similar constructions	abbreviation alt-of contraction
'san		1. (contraction) alternative form of sa and san	alt-of alternative contraction
'spáin		1. (verb) Cois Fharraige form of taispeáin	alt-of cois-fharraige
'spáint		1. (noun) Cois Fharraige form of taispeáint: verbal noun of ’spáin	alt-of cois-fharraige
'spána		1. (noun) alternative form of taispeána: genitive singular of ’spáint<br />2. (verb) alternative form of taispeána: present subjunctive analytic of ’spáin	alt-of alternative cois-fharraige
'spánadh		1. (verb) Cois Fharraige form of taispeánadh: inflection of ’spáin:<br />2. (verb) past indicative autonomous<br />3. (verb) past habitual analytic<br />4. (verb) past subjunctive analytic<br />5. (verb) third-person singular imperative	analytic autonomous habitual imperative indicative past singular subjunctive third-person
'spánaim		1. (verb) Cois Fharraige form of taispeánaim: first-person singular present indicative/imperative of ’spáin	alt-of cois-fharraige
'spánann		1. (verb) Cois Fharraige form of taispeánann: present indicative analytic of ’spáin	alt-of cois-fharraige
'spánfadh		1. (verb) Cois Fharraige form of taispeánaim: conditional analytic of ’spáin	alt-of cois-fharraige
'spánfaidh		1. (verb) Cois Fharraige form of taispeánfaidh: future analytic of ’spáin	alt-of cois-fharraige
'spánta		1. (verb) Cois Fharraige form of taispeánta: past participle of ’spáin	alt-of cois-fharraige participle
'sé		1. (particle) contraction of is + é, literally “it is, he is”<br />EXAMPLE: ’Sé dubhairt sí leis an tiománach—“Stad do chuid déanamh grinn ⁊ magaidh ormsa.”: It is what she said to the driver: “Leave off your merry-making and don’t be mocking me.”	abbreviation alt-of contraction
'ul		1. (noun) colloquial form of dul (as a verbal noun only)	colloquial form-of
'un		1. (prep) contraction of chun	abbreviation alt-of contraction
'ur		1. (det) Munster and Connacht form of bhur	alt-of connacht munster
-a		1. (suffix) plural ending of certain nouns<br />2. (suffix) plural ending of adjectives in the nominative, vocative, dative, and strong genitive cases<br />3. (suffix) genitive singular ending of third-declension nouns	morpheme
-a-		1. (interfix) -o- (linking vowel between morphemes)	morpheme
-ach		1. (suffix) Forms nouns from other nouns and adjectives with the sense of ‘person or thing connected or involved with, belonging to, having’.<br />EXAMPLE: Éire (“Ireland”) + -ach → Éireannach (“Irish (person)”)<br />EXAMPLE: Sasana (“England”) + -ach → Sasanach (“English (person)”)<br />2. (suffix) Forms adjectives from other nouns and adjectives with the sense of ‘connected or involved with, belonging to, having’.<br />EXAMPLE: bunús (“basis”) + -ach → bunúsach (“basic”)<br />EXAMPLE: fearg (“anger”) + -ach → feargach (“angry”)<br />EXAMPLE: Éire (“Ireland”) + -ach → Éireannach (“Irish”)<br />EXAMPLE: Sasana (“England”) + -ach → Sasanach (“English”)<br />3. (suffix) forms the genitive singular of some fifth-declension nouns	masculine morpheme
-acha		1. (suffix) Ending of the plural of certain nouns.	morpheme
-achas		1. (suffix) synonym of -as	masculine morpheme
-achd		1. (suffix) obsolete spelling of -acht	alt-of feminine morpheme obsolete
-acht		1. (suffix) Nominal suffix, used to form abstract ideas or nouns roughly corresponding to English -ness, -hood, -ity, or -ure.	feminine morpheme
-achán		1. (suffix) synonym of -án	masculine morpheme
-acán		1. (suffix) A double diminutive, used to derive nouns, both common and proper, from adjectives and other nouns.<br />EXAMPLE: geal (“white”) + -acán → gealacán<br />EXAMPLE: lámh (“hand”) + -acán → lámhacán	masculine morpheme
-adh		1. (suffix) Creates the regular verbal noun of first-conjugation verbs.<br />2. (suffix) Autonomous ending of first-conjugation verbs in the past indicative tense.<br />3. (suffix) Analytic ending of first-conjugation verbs in the past habitual tense<br />4. (suffix) Analytic ending of first-conjugation verbs in the past subjunctive mood<br />5. (suffix) Third-person singular ending of first-conjugation verbs in the imperative mood	masculine morpheme
-adán		1. (suffix) alternative form of -án	alt-of alternative masculine morpheme
-adóir		1. (suffix) Suffix appended to words to create an agent noun, indicating a person who does (or a thing that does) something.<br />EXAMPLE: bréag (“lie”) + -adóir → bréagadóir (“liar”)<br />EXAMPLE: dath (“color”) + -adóir → dathadóir (“colorist, dyer, painter”)<br />EXAMPLE: gúna (“gown, dress”) + -adóir → gúnadóir (“dressmaker”)	masculine morpheme
-agán		1. (suffix) A suffix used to derives instruments, diminutives, and other nouns from primary nouns in Irish.	masculine morpheme
-aibh		1. (suffix) broad form of -ibh	archaic morpheme
-aidhe		1. (suffix) obsolete spelling of -aí (“plural suffix”)<br />2. (suffix) obsolete spelling of -aí (“agent suffix”)	alt-of masculine morpheme obsolete
-aigh		1. (suffix) broad variant of -igh<br />EXAMPLE: Suffix used to form verbs from nouns; semi-productive in modern Irish.	morpheme
-aim		1. (suffix) alternative form of -im used after a broad consonant	alt-of alternative morpheme
-aimid		1. (suffix) Synthetic present tense ending of Irish verbs, corresponding to we	morpheme
-aire		1. (suffix) -er, -or (agentive suffix)	masculine morpheme
-ais		1. (suffix) inflection of -as:<br />2. (suffix) vocative/genitive singular<br />3. (suffix) nominative/dative plural	dative form-of morpheme nominative plural
-aithe		1. (suffix) plural of -aí<br />2. (suffix) alternative form of -ithe used after a broad consonant	alt-of alternative form-of morpheme plural
-alú		1. (suffix) -lysis	masculine morpheme
-amar		1. (suffix) first-person plural past indicative of first conjugation verbs	first-person form-of indicative morpheme past plural
-amh		1. (suffix) forms verbal nouns	masculine morpheme
-amhail		1. (suffix) dated spelling of -úil	morpheme
-an		1. (suffix) forms verbal nouns	morpheme
-ann		1. (suffix) ending of the present indicative analytic verb form	morpheme
-anna		1. (suffix) Ending of the plural of certain nouns.	morpheme
-arcacht		1. (suffix) -archy	feminine morpheme
-as		1. (suffix) Nominal suffix, used to form abstract ideas or nouns<br />2. (suffix) Relative ending of first conjugation verbs in the present tense<br />3. (suffix) Synthetic first person singular ending of first conjugation verbs in the past tense	masculine morpheme
-aí		1. (suffix) Ending of the plural of certain nouns.<br />EXAMPLE: beannacht (“blessing, greeting”) + -aí → beannachtaí<br />EXAMPLE: gnólacht (“commercial firm”) + -aí → gnólachtaí<br />2. (suffix) -er (person or thing that does an action indicated by the root verb)<br />EXAMPLE: feighil (“to watch, tend”) + -aí → feighlí (“watcher, tender”)<br />3. (suffix) -ist (one who follows a particular ideology; member of a profession or one interested in something; person who uses something)<br />EXAMPLE: Búda (“Buddha”) + -aí → Búdaí (“Buddhist”)<br />EXAMPLE: eol (“knowledge”) + -aí → eolaí (“scientist, -ologist”)<br />EXAMPLE: roth (“wheel”) + -aí → rothaí (“cyclist”)<br />4. (suffix) -ee (person to whom or a thing to which an action is done; person who or a thing that does an action; person who is the other party to a contract)<br />EXAMPLE: fostaigh (“employ”) + -aí → fostaí (“employee”)<br />EXAMPLE: neamhláithreach (“absent”) + -aí → neamhláithrí (“absentee”)<br />EXAMPLE: morgáiste (“mortgage”) + -aí → morgáistí (“mortgagee”)<br />5. (suffix) Added to nouns to form adjectives.<br />6. (suffix) Suffix used to form verbal nouns<br />EXAMPLE: tosaigh + -aí → tosaí<br />EXAMPLE: fiafraigh + -aí → fiafraí	masculine morpheme
-aím		1. (suffix) alternative form of -ím used after a broad consonant	alt-of alternative morpheme
-aímid		1. (suffix) alternative form of -ímid used after a broad consonant	alt-of alternative morpheme
-aíonn		1. (suffix) Analytic present tense ending of verbs	morpheme
