Mandarin	Vietnamese
日	ngày
天	ngày
库拉索	Curaçao
黎太宗	Lê Thái Tông
聪明	thông tuệ
聪明	giỏi
聪明	lanh lợi
聪明	thông minh
听觉	tai
碎	toái
芍药属	Chi Mẫu đơn
金星	Kim Tinh
迦	dà
國際號碼格式	sự định dạng số quốc tế
国际号码格式	sự định dạng số quốc tế
網際網路存取提供者	nhà cung cấp dịch vụ truy nhập Internet
南宁市	Nam Ninh
姐姐	chị
呠	bỏm
呠	bỏm
呡	răn
消息处理应用程序编程接口	giao diện lập trình ứng dụng truyền thông điệp
訊息應用程式發展介面	giao diện lập trình ứng dụng truyền thông điệp
邮件传递记录管理	sự quản lý mục tin thông điệp
通訊記錄管理	sự quản lý mục tin thông điệp
元数据	siêu dữ liệu
肝炎	bệnh viêm gan
季节	mùa
季節	mùa
秋天	thu
秋天	mùa thu
夏天	hẹ
夏天	mùa hẹ
春天	mùa xuân
春天	xuân
冬天	mùa đông
冬天	đông
年	năm
詹姆斯·诺克斯·波尔克	James K. Polk
科学	khoa học
多姆山省	Puy-de-Dôme
显示名称	Tên hiển thị
显示属性	Thuộc tính hiển thị
老挝人民革命党	Đảng Nhân dân Cách mạng Lào
苙	rợp
报纸卷	báo cuộn
侅	hời
书签	dấu trang
四川大熊猫栖息地	Khu bảo tồn Gấu Trúc Lớn tại Tứ Xuyên
波利尼西亚	Polynesia
玻利尼西亚	Polynesia
也许	có lẽ
也许	có thể
或许	có lẽ
或许	có thể
阻	trở
蜡笔	viết chì màu
阻	trở
卌	tấp
煤	than
煤	than củi
碳	cacbon
阿尔巴尼亚	Albani
亚美尼亚	Armenia
安提瓜和巴布达	Antigua và Barbuda
安圭拉	Anguilla
阿根廷	Argentina
美属萨摩亚	Đảo Somoa thuộc Mỹ
南极洲	Nam Cực
纽约州	New York
纽约州	Nữu Ước
S-21集中营	Bảo tàng diệt chủng Tuol Sleng
三轮车	xích lô
娱遣	sự hài hước
嬉	sự hài hước
形容词	có tính chất tính từ
壹	nhất
四	tứ
英格兰	Anh
自動化	tự động hoá
Automation	tự động hoá
自动化对象	đối tượng tự động hoá
音	âm
IAS	IAS
I/O 请求数据包	gói yêu cầu vào/ra
網際網路存取提供者 (IAP)	IAP
連字號	dấu gạch nối
I/O	I/O (nhập/xuất)
越南文	Tiếng Việt
东柏林	Đông Berlin
黄海北道	Hwanghae-pukto
显微镜座	Hiển Vi Kính
欣	hân
度量系统	Hệ thống đo lường
货币	Tiền tệ
插件	phần cắm thêm
加号	dấu cộng
白桂皮目	Bộ Bạch quế bì
鲁道夫·狄塞尔	Rudolf Diesel
甘肃	Cam Túc
恒河	sông Hằng
恒河	Hằng
长江	Dương Tử
长江	Trường Giang
扬子江	Dương Tử
扬子江	Trường Giang
仰光	Răng Gun
仰光	Yangon
修	tu
打蛋器	cái đánh trứng
性别	giống
迪庆藏族自治州	Châu tự trị dân tộc Tạng Địch Khánh
暹	xiêm
艾温德·约翰松	Eyvind Johnson
枪杆	nòng
枪杆儿	nòng
枪杆子	nòng
枪管	nòng
卡洛斯·特维斯	Carlos Tévez
孟加拉国	Bangladesh
巴哈马	Bahamas
医务室	bệnh viện
医务室	nhà thương
医务所	bệnh viện
医务所	nhà thương
医院	bệnh viện
医院	nhà thương
病院	bệnh viện
病院	nhà thương
门诊室	bệnh viện
门诊室	nhà thương
华潘省	Hủa Phăn
钩枝藤科	Họ Trung quân
人参	nhân sâm
人参根	nhân sâm
人蔘	nhân sâm
参	nhân sâm
稊	thê
稊	đề
政府	chính phủ
王后	hoàng hậu
王后	vợ vua
王后	quý phi
御宅族	otaku
水泥	xi măng
IPv4	IPv4
刑	hình
强盗	kẻ cướp
醒	dậy lên
醒	thức
醒	dậy
醒	thức dậy
醒来	dậy lên
醒来	thức
醒来	dậy
醒来	thức dậy
新约全书	Tân Ước
新约	Tân Ước
新约圣经	Tân Ước
江西省	Giang Tây
哿	cả
唁	ngon
唅	hầm
唅	hầm
悧	rượi
紧急状态	tình trạng khẩn cấp
天卫二十三	Margaret
陶哲轩	Đào Triết Hiên
斯瓦希里文	Tiếng Bantu (Đông Phi)
瑞典文	Tiếng Thụy Điển
保卫	bảo vệ
保护	bảo vệ
水仙	Chi Thủy tiên
心脏内科	bệnh học tim
心脏内科	khoa tim
心脏病学	bệnh học tim
心脏病学	khoa tim
新加坡	Singapore
星加坡 星洲	Singapore
黄铜	đồng thau
光学	quang học
蒙古国	Mông Cổ
在右边	ở bên phải
右边	ở bên phải
知了	ve sầu
蝉	ve sầu
蛦	dơi
蛦	nhăn
年老	già
老年	già
老	già
古老	cũ
旧	cũ
前	cựu
岁	tuổi
肉桂	quế
钩枝藤科	Họ Trung quân
南非荷兰语	tiếng Hà lan ở Kếp
鲱形目	bộ cá trích
阿速坡省	Attapu
兄弟	em trai
兄弟	anh em
孩子	con
小孩	con
弟弟	em trai
哥哥	anh
女儿	con gái
女兒	con gái
毛	Mao Trạch Đông
毛泽东	Mao Trạch Đông
表	bảng kế
表	bảng
表格	bảng kế
表格	bảng
墓	mộ
孔	lỗ
洞	lỗ
南芬兰	Nam Phần Lan
㾾	hem
伊斯兰堡	Islamabad
1族	nhóm nguyên tố 1
12族	nhóm nguyên tố 12
11族	nhóm nguyên tố 11
光盘只读存储器(通常可翻译为“光盘”)	bộ nhớ chỉ đọc trên đĩa compact
光盘播放机	máy nghe CD
可重写光盘	đĩa compact ghi lại được
可录制光盘	đĩa compact ghi được
冰岛	Iceland
德国	Đức
德	Đức
德语	tiếng Đức
华国锋	Hoa Quốc Phong
姂	bợm
姅	nửa
姈	lanh
乌拉圭比索（索引单位）	Đồng Peso Uruguay (Đơn vị Theo chỉ số)
螺线	xoắn ốc
精液	tinh dịch
脾	tì
桎	chuối
桑	tang
牟	màu
牟	rậm
体香剂	chất khử mùi
体香剂	bay mùi
脱臭剂	chất khử mùi
脱臭剂	bay mùi
防臭剂	chất khử mùi
防臭剂	bay mùi
除臭剂	chất khử mùi
除臭剂	bay mùi
末药	hất nhựa thơm
没药	hất nhựa thơm
白雪公主	Nàng Bạch Tuyết và bảy chú lùn
日内瓦公约	Công ước Genève
伙伴	bạn
伙伴	đồng chí
伴侣	bạn
伴侣	đồng chí
同伴	bạn
同伴	đồng chí
弟兄	bạn
弟兄	đồng chí
国际刑警组织	Interpol
英格兰	Anh Quốc
形状	hình dáng
曲	bài hát
歌	bài hát
歌儿	bài hát
歌曲	bài hát
烏鴉	ác
鸽子	bồ câu
蝙蝠	dơi
隼	ưng
老鷹	ưng
鷹	ưng
蒼鷹	ưng
食雀鷹	ưng
鷲	chim kền kền
鹭鸶	diệc
蒼鷺	diệc
鷺鷥	diệc
老鷹	chim đại bàng
猫头鹰	cú
鸬鹚	cốc
水老鸦	cốc
鸕鶿	cốc
人物	nhân vật
爱经	Kama Sutra
MD5	MD5
元	Đồng
元	Đồng Mỹ
元	Đô la
元	Đô-la
MCDI	MCDI
匪	phỉ
签名	chữ ký
署名	chữ ký
花押字	chữ ký
签字	chữ ký
变暗的	bị mờ đi
维度级别	mức chiều
水	nước
待	đợi
搪	đợi
等	đợi
G点	điểm G
自拍	hình tự chụp
自拍	ảnh tự chụp
自拍	ảnh tự sướng
自拍	tự sướng
自拍	hình tự sướng
硼	bo
灰尘	bụi
尘土	bụi
灰	bụi
㥥	ngùng
中国佛教	Phật giáo Trung Quốc
澳大利亚元	Đô la Australia
澳大利亚元	Đô la Australia
$	$
奥地利先令	Đồng Schiling Áo
阿鲁巴基尔德元	Florin Aruba
实时	tức thời
闽北	Mân Bắc
闽南语	tiếng Mân Nam
作	làm
做	làm
叠	gấp
折	gấp
弯	uốn cong
彎	uốn cong
解开	cởi
拴	buộc
结	buộc
捆	buộc
绑	buộc
缚	buộc
扎	buộc
系	buộc
係	buộc
綑	buộc
縛	buộc
結	buộc
綁	buộc
苙	rợp
苗	meo
苗	meo
苔	đầy
竖琴	đàn hạc
信息通知	thông báo thông tin
红外线	hồng ngoại
信息提示	Mách tin
保证	thề
保证	cam kết
发誓	thề
发誓	cam kết
渤海	Vịnh Bột Hải
G点	Điểm G
伊利亚特	Iliad
檔案複寫服務 (FRS)	dịch vụ tái tạo tệp
文件复制服务	dịch vụ tái tạo tệp
色格拉布鲁日	Cercle Brugge K.S.V.
调制解调器	bộ điều giải
调制解调器	modem
单簧管	kèn dăm đơn
加里曼丹	Borneo
立陶宛	Lítva
放射性的	phóng xạ
迷宫	Mê cung
泮	bợn
要	muốn
要	cần
需要	muốn
需要	cần
需要	cần
得	cần phải
必需	cần phải
必要	cần phải
周日	CN
人民币	nhân dân tệ
血管	mạch máu
血管	huyết quản
不幸	vận rủi
俄罗斯总理	Thủ tướng Nga
夏	𡕵
夏	hạ
夏	mùa hè
夏	mùa hạ
夏令	𡕵
夏令	hạ
夏令	mùa hè
夏令	mùa hạ
夏令时	𡕵
夏令时	hạ
夏令时	mùa hè
夏令时	mùa hạ
夏天	𡕵
夏天	hạ
夏天	mùa hè
夏天	mùa hạ
夏季	𡕵
夏季	hạ
夏季	mùa hè
夏季	mùa hạ
夏日	𡕵
夏日	hạ
夏日	mùa hè
夏日	mùa hạ
夏时制	𡕵
夏时制	hạ
夏时制	mùa hè
夏时制	mùa hạ
黄天	𡕵
黄天	hạ
黄天	mùa hè
黄天	mùa hạ
不同	khác
不同	khác biệt
比较	cấp so sánh
波德戈里察	Podgorica
校服	đồng phục
制服	đồng phục
刘少奇	Lưu Thiếu Kỳ
玫瑰花	bông hồng
玫瑰花	hoa hồng
蛭	chấy
蛮	man
约翰·昆西·亚当斯	John Quincy Adams
北美洲	Bắc Mỹ
柴	sài
德怀特·艾森豪威尔	Dwight D. Eisenhower
举行罢工	làm reo
兵	lính
大马士革	Damascus
大特克	Grand Turk
朱巴	Juba
圣多美	São Tomé
比斯开方言	BISCAYAN
视频图形阵列	VGA
凯尔盖朗	Kerguelen
洛美	Lome
字典	từ điển
词典	từ điển
剧	cưa
十	10
冬	11
刘晓庆	Lưu Hiểu Khánh
勃起	cương cứng
屄	lồn
全球化	toàn cầu hóa
响	hưởng
响	hưởng
哈	hóp
哇	oà
祚	tộ
犯罪学	tội phạm học
楼	tầng
层	tầng
仪式	nghi lễ
仪式	nghi thức
三叶草	cây xa trục thảo
苜	cây xa trục thảo
皇家沙勒罗瓦体育俱乐部	R. Charleroi S.C.
